Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
FH,22pF,C8 C11,C_0402_1005Metric,2,C1555,JLC
SAMSUNG,10nF,C2,C_0402_1005Metric,1,C15195,JLC
SAMSUNG,100nF,C4 C5 C6 C7 C12 C13,C_0402_1005Metric,6,C1525,JLC
SAMSUNG,10uF/25V,C1 C3,C_0805_2012Metric,2,C15850,JLC
KENTO,RED,D3,LED_0603_1608Metric,1,C2286,JLC
EVERLIGHT,BLUE,D1,LED_0603_1608Metric,1,C72041,JLC
UniOhm,0R,R4 R5,R_0402_1005Metric,2,C17168,JLC
UniOhm,100R,R9,R_0402_1005Metric,1,C25076,JLC
UniOhm,220R,R11,R_0402_1005Metric,1,C25091,JLC
UniOhm,470R,R15,R_0402_1005Metric,1,C25117,JLC
UniOhm,1.5K,R10 R14,R_0402_1005Metric,2,C25867,JLC
UniOhm,4.7K,R6 R7,R_0402_1005Metric,2,C25900,JLC
UniOhm,5.1K,R1 R3,R_0402_1005Metric,2,C25905,JLC
UniOhm,10K,R2 R12,R_0402_1005Metric,2,C25744,JLC
UniOhm,100K,R8 R13,R_0402_1005Metric,2,C25741,JLC
CJ,S8550,Q1,SOT-23,1,C105432,JLC
LRC,LESD5Z5.0CT1G,D2 D4 D5 D6 D7 D8 D9,D_SOD-523,7,C136167,JLC-EXT
HCTL,SW_Push,SW1,HCTL_TC-3601L-2.5,1,C2845294,JLC-EXT
HRO,USB-C,J1,HRO_TYPE-C-31-M-12,1,C165948,JLC-EXT
LIMING,8MHz,Y1,Oscillator_SMD_3.2x2.5mm,1,C518154,JLC-EXT
ST,STM32F103TBU6,U2,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,1,C8363,JLC-EXT
MaxLinear,SPX3819M5-L-3-3,U1,SOT-23-5,1,C9055,JLC-EXT
