Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Part Number
C1,C_0805_2012Metric,11.3mm,3.3mm,T,0,C15850
C2,C_0402_1005Metric,10.3mm,8.25mm,T,0,C15195
C3,C_0805_2012Metric,7.8mm,3.3mm,T,0,C15850
C4,C_0402_1005Metric,21.3mm,3.82mm,T,90,C1525
C5,C_0402_1005Metric,22.3mm,14.78mm,T,270,C1525
C6,C_0402_1005Metric,14.8mm,6.32mm,T,90,C1525
C7,C_0402_1005Metric,16.8mm,14.78mm,T,270,C1525
C8,C_0402_1005Metric,19.95mm,3.8mm,T,90,C1555
C11,C_0402_1005Metric,15.15mm,3.8mm,T,270,C1555
C12,C_0402_1005Metric,24.28mm,11.05mm,T,180,C1525
C13,C_0402_1005Metric,24.28mm,4.05mm,T,180,C1525
D1,LED_0603_1608Metric,24.8mm,17.8mm,T,90,C72041
D2,D_SOD-523,30.8mm,14mm,B,0,C136167
D3,LED_0603_1608Metric,21.3mm,17.8mm,T,90,C2286
D4,D_SOD-523,30.8mm,11.2mm,B,0,C136167
D5,D_SOD-523,30.8mm,7mm,B,0,C136167
D6,D_SOD-523,30.8mm,5.6mm,B,0,C136167
D7,D_SOD-523,30.8mm,8.4mm,B,0,C136167
D8,D_SOD-523,30.8mm,9.8mm,B,0,C136167
D9,D_SOD-523,30.8mm,12.6mm,B,0,C136167
J1,HRO_TYPE-C-31-M-12,3.74mm,9.8mm,T,270,C165948
J2,PinHeader_1x04_P1.27mm_Vertical,14.4mm,18.05mm,B,270,
J3,PinHeader_2x05_P2.54mm_Vertical,33.525mm,14.88mm,T,0,
Q1,SOT-23,13.8mm,14.8mm,T,90,C105432
R1,R_0402_1005Metric,10.81mm,11.55mm,T,180,C25905
R2,R_0402_1005Metric,12.3mm,8.25mm,T,0,C25744
R3,R_0402_1005Metric,10.81mm,12.55mm,T,180,C25905
R4,R_0402_1005Metric,10.81mm,9.55mm,T,180,C17168
R5,R_0402_1005Metric,10.81mm,10.55mm,T,180,C17168
R6,R_0402_1005Metric,24.31mm,6.05mm,T,180,C25900
R7,R_0402_1005Metric,24.309999mm,7.05mm,T,180,C25900
R8,R_0402_1005Metric,14.8mm,8.81mm,T,90,C25741
R9,R_0402_1005Metric,24.309999mm,9.3mm,T,180,C25076
R10,R_0402_1005Metric,13.8mm,11.81mm,T,270,C25867
R11,R_0402_1005Metric,21.3mm,14.81mm,T,90,C25091
R12,R_0402_1005Metric,24.31mm,12.05mm,T,0,C25744
R13,R_0402_1005Metric,24.31mm,5.05mm,T,0,C25741
R14,R_0402_1005Metric,14.8mm,11.81mm,T,90,C25867
R15,R_0402_1005Metric,20.3mm,14.81mm,T,90,C25117
SW1,HCTL_TC-3601L-2.5,27.3mm,9.8mm,T,270,C2845294
U1,SOT-23-5,11.3mm,6.05mm,T,0,C9055
U2,QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm,19.3mm,9.8mm,T,0,C8363
Y1,Oscillator_SMD_3.2x2.5mm,17.55mm,3.8mm,T,0,C518154
